Altium Designer Pick and Place Locations
C:\Users\nshadrin\Documents\Project\chipolino\pcb\ChipOlino_revA\Pick and place\Pick Place for Chipolino_revA.txt

========================================================================================================================
File Design Information:

Date:       01.04.25
Time:       09:21
Revision:   533f1daef2ceff959c876a0e7b20af4a9b60ad48
Variant:    No variations
Units used: mil

Designator Comment                                                       Layer    Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                  
C1         "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                885.827       118.110       90       ""                                                                           
C2         "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                1106.299      1976.378      180      ""                                                                           
C3         "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                3700.787      1248.032      270      ""                                                                           
C4         "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                3366.142      1523.622      270      ""                                                                           
C5         "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                3700.787      992.126       270      ""                                                                           
C6         "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                3700.787      1523.622      270      ""                                                                           
C7         "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                3366.142      992.126       270      ""                                                                           
C8         "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                3366.142      1248.032      270      ""                                                                           
C9         "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                377.953       118.110       90       ""                                                                           
C10        "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                4015.748      2279.528      270      ""                                                                           
C11        "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                4015.748      2519.685      270      ""                                                                           
C12        "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                2604.331      745.079       90       ""                                                                           
C13        "Ceramic capacitor, 0603, 0.1u, ±10%, 50V, X7R, -55...+125°C" TopLayer CH0603C                3740.157      2035.433      90       ""                                                                           
